Kepler_ID,RA (J2000),Dec (J2000),Teff,kepmag
4936718,295.2474105,40.098253,,18.791
4936729,295.2502785,40.095686,,18.307
4936732,295.2505275,40.090442,,16.94
4936735,295.250847,40.093784,,
4936736,295.25085,40.092989,,15.309
4936741,295.25235,40.09869,6313,15.657
4936748,295.253958,40.097917,,18.546
4936750,295.2544395,40.09079,5539,12.399
4936769,295.2596865,40.099678,,19.56
4936770,295.2598665,40.079069,,17.844
4936771,295.2601305,40.09516,5180,15.222
4936774,295.260408,40.088258,,17.035
4936791,295.2626895,40.07954,4776,15.988
4936793,295.26324,40.08964,6084,14.335
4936794,295.2634005,40.087839,,17.31
4936802,295.264536,40.074731,,17.013
4936810,295.2659355,40.097107,,
4936813,295.26609,40.08464,5602,18.119
4936820,295.26813,40.07623,6253,16.77
4936822,295.26867,40.08496,6042,16.305
4936823,295.268811,40.091367,,18.237
4936825,295.26909,40.08079,4719,13.168
4936828,295.269516,40.0911,,17.542
4936831,295.2701115,40.091158,,18.074
4936834,295.27047,40.08806,5503,16.016
4936842,295.27215,40.08228,6202,16.489
4936843,295.2723135,40.099806,,17.254
4936852,295.274742,40.094772,,18.792
4936853,295.27485,40.09759,4322,16.112
4936854,295.274994,40.090364,,17.013
4936862,295.27605,40.076103,,19.13
4936866,295.27698,40.07896,4968,17.954
4936869,295.2777135,40.079331,,16.486
4936870,295.2781695,40.08253,5001,17.759
4936872,295.27839,40.09946,5583,17.371
4936883,295.281,40.0805,5447,17.036
4936888,295.281822,40.084094,,18.737
4936891,295.28232,40.09871,5133,18.076
4936894,295.2827805,40.07601,5881,17.231
4936897,295.2832695,40.07857,6050,14.585
4936900,295.2838095,40.08211,3905,17.291
4936905,295.2848505,40.08137,5789,18.343
4936906,295.2849645,40.081217,,16.144
4936913,295.2866715,40.088339,,17.537
4936917,295.2884025,40.091981,,17.646
4936922,295.2889005,40.086267,,19.123
4936924,295.2891885,40.087872,,16.962
4936926,295.28985,40.09593,4452,16.824
4936948,295.2937695,40.09351,6089,15.23
4936949,295.29387,40.09842,5863,17.813
4936963,295.2966525,40.084883,,18.816
4936964,295.29666,40.09008,5224,16.786
4936972,295.2984195,40.09011,4777,13.614
4936980,295.300194,40.084486,,18.294
4936982,295.3005705,40.0925,4733,18.186
4936985,295.300908,40.084003,,18.467
4936993,295.3023135,40.094636,,17.961
4936996,295.3029945,40.090017,,18.474
4936999,295.3036245,40.088153,,19.063
4937007,295.306353,40.09235,,18.656
4937008,295.3065,40.086728,,18.494
4937010,295.306803,40.087531,,17.945
4937024,295.3104,40.09508,4941,15.663
4937040,295.31445,40.09174,6029,16.915
4937056,295.31799,40.09747,4890,12.791
4937093,295.327809,40.095611,,19.207
5023613,295.1742105,40.195686,,19.123
5023621,295.17588,40.19994,5890,16.437
5023626,295.17708,40.19374,5418,17.817
5023627,295.1772285,40.196378,,18.445
5023629,295.177494,40.1895,,19.163
5023632,295.1780895,40.19552,5441,18.11
5023638,295.1794785,40.187047,,18.701
5023641,295.1799,40.193911,,18.197
5023651,295.1813205,40.18956,6081,18.124
5023652,295.1813205,40.19601,6247,15.245
5023671,295.185183,40.186019,,19.01
5023674,295.186107,40.195789,,
5023679,295.1868915,40.195617,,14.988
5023682,295.1876595,40.19542,6415,16.487
5023685,295.188234,40.1892,,18.922
5023693,295.1901975,40.177381,,17.364
5023695,295.190841,40.186797,,18.833
5023699,295.1916405,40.18912,6044,13
5023702,295.1921805,40.18391,6739,18.209
5023703,295.1923605,40.17051,5985,16.817
5023704,295.1924775,40.174664,,18.552
5023707,295.19409,40.19192,5387,15.205
5023708,295.19427,40.17058,5681,17.682
5023711,295.1956305,40.19908,6212,15.995
5023714,295.196025,40.192636,,18.606
5023715,295.1962395,40.18374,6710,16.078
5023716,295.196334,40.167431,,18.936
5023720,295.1975895,40.16449,5610,17.025
5023721,295.1976525,40.165417,,16.187
5023722,295.197741,40.165036,,16.832
5023723,295.1979,40.19565,6063,17.28
5023730,295.199625,40.186481,,18.955
5023731,295.1998755,40.191358,,18.859
5023734,295.2003915,40.166278,,18.718
5023740,295.2011595,40.198,5216,16.882
5023743,295.2015435,40.178987,,13.462
5023744,295.2018165,40.158239,,19.088
5023745,295.2022785,40.197633,,14.805
5023746,295.2026145,40.163244,,18.994
5023747,295.20288,40.15556,4697,16.057
5023748,295.2028995,40.19723,5749,16.344
5023750,295.2030495,40.172011,,18.667
5023751,295.20306,40.18371,6515,18.106
5023753,295.203147,40.165508,,19.122
5023755,295.203951,40.159149,,
5023757,295.204083,40.161425,,18.998
5023758,295.2041835,40.174364,,18.756
5023760,295.20558,40.15196,6288,15.177
5023765,295.2066165,40.170983,,19.032
5023767,295.2071805,40.189572,,17.958
5023771,295.207695,40.170575,,18.77
5023773,295.207989,40.159131,,18.862
5023775,295.2085995,40.15192,5393,17.006
5023779,295.20963,40.19284,6420,17.896
5023780,295.20972,40.19086,5371,18.248
5023781,295.2098295,40.16433,5188,17.691
5023784,295.2100725,40.193319,,16.753
5023785,295.2101025,40.145839,,17.96
5023789,295.2108855,40.194069,,16.336
5023791,295.21116,40.1564,6282,16.033
5023792,295.2115005,40.17138,5395,17.726
5023793,295.21194,40.19706,4815,17.564
5023794,295.2126,40.17901,5144,17.329
5023795,295.21266,40.19613,5075,17.915
5023796,295.2129,40.16256,6029,17.034
5023797,295.2129555,40.174681,,16.546
5023798,295.2132015,40.161655,,
5023800,295.21377,40.19917,5768,16.742
5023802,295.2152805,40.166725,,18.78
5023803,295.215372,40.147217,,18.879
5023804,295.2154305,40.17616,5788,18.265
5023805,295.2154785,40.140436,,18.99
5023807,295.21605,40.183,5813,17.892
5023808,295.2162225,40.194583,,18.467
5023812,295.21689,40.19928,6392,15.999
5023814,295.21731,40.14433,6707,17.214
5023815,295.21734,40.14212,6322,17.499
5023816,295.217403,40.165553,,18.867
5023817,295.2179025,40.143337,,
5023818,295.2179415,40.165561,,18.545
5023819,295.2180495,40.17921,4880,17.989
5023820,295.218516,40.144517,,13.01
5023822,295.219569,40.14511,5814,14.358
5023823,295.2196305,40.15124,6307,18.16
5023825,295.22001,40.14078,5401,17.491
5023826,295.220019,40.157803,,17.005
5023828,295.220886,40.160344,,15.75
5023829,295.22097,40.15895,5802,15.934
5023830,295.2210075,40.147343,,
5023832,295.22112,40.188258,,19.209
5023833,295.221264,40.192194,,18.839
5023834,295.2214395,40.17191,5026,17.312
5023835,295.22151,40.19744,4958,17.752
5023837,295.22175,40.13448,6211,16.056
5023839,295.222158,40.192842,,18.758
5023840,295.222572,40.14735,,19.089
5023841,295.22265,40.17835,5916,16.538
5023842,295.22283,40.12862,6137,15.02
5023843,295.22298,40.18363,6235,14.942
5023844,295.222992,40.169678,,18.339
5023845,295.2230895,40.16733,4865,13.66
5023849,295.22436,40.1976,6261,14.621
5023850,295.2245655,40.168732,,
5023852,295.2248805,40.163369,,17.12
5023853,295.22523,40.16517,6299,15.433
5023855,295.2256725,40.187333,,18.926
5023857,295.225761,40.143011,,18.092
5023859,295.225803,40.184783,,17.99
5023860,295.226217,40.172097,,18.52
5023861,295.22625,40.18152,5668,16.583
5023862,295.2264225,40.1948,,18.486
5023863,295.2265095,40.15214,6620,16.182
5023864,295.226655,40.196089,,17.168
5023866,295.2273615,40.178572,,17.794
5023867,295.22748,40.19705,5848,16.856
5023868,295.2277245,40.134672,,18.342
5023869,295.227792,40.187875,,18.92
5023870,295.2278115,40.173073,,
5023871,295.22784,40.12035,5587,14.494
5023872,295.22793,40.16915,6265,15.381
5023873,295.2279945,40.136536,,17.57
5023874,295.22814,40.14319,6405,15.354
5023875,295.2283905,40.15562,5533,17.236
5023877,295.2285705,40.14143,5057,18.038
5023878,295.2285855,40.136336,,18.438
5023880,295.2287055,40.129219,,18.571
5023881,295.2288,40.16283,5487,17.596
5023883,295.229178,40.138583,,18.443
5023884,295.2292395,40.15921,6695,16.094
5023885,295.22949,40.1606,5399,16.953
5023886,295.22982,40.13408,5466,17.134
5023888,295.2314505,40.18791,5924,17.874
5023890,295.231683,40.190868,,14.298
5023891,295.231764,40.173186,,18.386
